username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink
W_T_C_R,2012-04-04 17:58,0,0,"SAS to SATA Data Cable With Power http:// bit.ly/GFhshW #buy #sata #data #cable with #bitcoin #btc",,,#buy #sata #data #cable #bitcoin #btc,"187690740510490624",https://twitter.com/W_T_C_R/status/187690740510490624
Clagett,2012-04-04 17:57,0,0,"Canada To Launch Its Own Version Of #BitCoin Called MintChip http:// bit.ly/HKx8C6 by @AustinCarr",,@AustinCarr,#BitCoin,"187690492530667523",https://twitter.com/Clagett/status/187690492530667523
W_T_C_R,2012-04-04 17:52,0,0,"AMD 2.6GHz FM1 CPU AD3650WNGXBOX A6-3650 http:// bit.ly/GBkl79 #buy #AMD #FM1 #CPU with #bitcoin #btc",,,#buy #AMD #FM1 #CPU #bitcoin #btc,"187689228916883456",https://twitter.com/W_T_C_R/status/187689228916883456
meshverse,2012-04-04 17:52,0,0,"Digital currency from the Royal Canadian Mint http://www. betabeat.com/2012/04/04/roy al-canadian-mint-announces-digital-currency/ … billed as an alternative to #bitcoin but it is it? http:// news.ycombinator.com/item?id=3797977",,,#bitcoin,"187689204074020864",https://twitter.com/meshverse/status/187689204074020864
meshverse,2012-04-04 17:47,0,0,"Buying music with #Bitcoin http://www. betabeat.com/2012/04/03/coi ndl-aims-to-make-bitcoin-a-bit-more-mainstream/ … is natural - music is after all a virtual good - http:// croquetnews.wordpress.com/2006/08/04/the -virtual-is-real-just-follow-the-money-or-the-physics/ … http:// croquetnews.wordpress.com/2006/08/16/the -virtual-is-real-just-follow-the-eye-movements-or-the-music/ …",,,#Bitcoin,"187687871132598273",https://twitter.com/meshverse/status/187687871132598273
W_T_C_R,2012-04-04 17:44,0,0,"24 Port CAT5e Networking Patch Panel http:// bit.ly/GCpjPo #buy #rackmount #patch #panel #cat5 w/ #bitcoin #btc",,,#buy #rackmount #patch #panel #cat5 #bitcoin #btc,"187687212702371840",https://twitter.com/W_T_C_R/status/187687212702371840
meshverse,2012-04-04 17:42,0,0,"More on the #Bitcoin pitch to #Nigeria http:// latimesblogs.latimes.com/world_now/2012 /04/bitcoin-virtual-money-africa-rudiger-koch.html …",,,#Bitcoin #Nigeria,"187686624157646850",https://twitter.com/meshverse/status/187686624157646850
dmatthewstewart,2012-04-04 17:39,0,0,"Disregard my earlier #Bitcoin tweet. I got the stable version running now and hopefully my wallet will transfer as well",,,#Bitcoin,"187685899730042880",https://twitter.com/dmatthewstewart/status/187685899730042880
BitcoinForum,2012-04-04 17:37,0,0,"Re: #Bitcoin Paid-to-Post Program - 0.0035 BTC PER POST http:// bit.ly/HW97cs",,,#Bitcoin,"187685300456259584",https://twitter.com/BitcoinForum/status/187685300456259584
evilmatthew,2012-04-04 17:36,0,0,"canucks are trying to compete with bitcoin http:// developer.mintchipchallenge.com #bitcoin #currency",,,#bitcoin #currency,"187685036991070211",https://twitter.com/evilmatthew/status/187685036991070211
